section	key	srcproj	tgtproj	params
CSV	PROJ4_SPCS_EPSG_nad83.csv:00002	longlat	omerc	alpha,datum,ellps,k,lat_0,lonc,no_defs,proj,to_meter,x_0,y_0
CSV	PROJ4_SPCS_EPSG_nad83.csv:00003	longlat	omerc	alpha,datum,ellps,k,lat_0,lonc,no_defs,proj,to_meter,x_0,y_0
CSV	PROJ4_SPCS_EPSG_nad83.csv:00004	longlat	omerc	alpha,datum,ellps,k,lat_0,lonc,no_defs,proj,to_meter,x_0,y_0
CSV	PROJ4_SPCS_EPSG_nad83.csv:00005	longlat	omerc	alpha,datum,ellps,k,lat_0,lonc,no_defs,proj,to_meter,x_0,y_0
CSV	PROJ4_SPCS_EPSG_nad83.csv:00006	longlat	omerc	alpha,datum,ellps,k,lat_0,lonc,no_defs,proj,to_meter,x_0,y_0
CSV	PROJ4_SPCS_EPSG_nad83.csv:00007	longlat	tmerc	datum,ellps,k,lat_0,lon_0,no_defs,proj,to_meter,x_0,y_0
CSV	PROJ4_SPCS_EPSG_nad83.csv:00008	longlat	tmerc	datum,ellps,k,lat_0,lon_0,no_defs,proj,to_meter,x_0,y_0
CSV	PROJ4_SPCS_EPSG_nad83.csv:00009	longlat	tmerc	datum,ellps,k,lat_0,lon_0,no_defs,proj,to_meter,x_0,y_0
CSV	PROJ4_SPCS_EPSG_nad83.csv:00010	longlat	tmerc	datum,ellps,k,lat_0,lon_0,no_defs,proj,to_meter,x_0,y_0
CSV	PROJ4_SPCS_EPSG_nad83.csv:00011	longlat	tmerc	datum,ellps,k,lat_0,lon_0,no_defs,proj,to_meter,x_0,y_0
CSV	PROJ4_SPCS_EPSG_nad83.csv:00012	longlat	tmerc	datum,ellps,k,lat_0,lon_0,no_defs,proj,to_meter,x_0,y_0
CSV	PROJ4_SPCS_EPSG_nad83.csv:00013	longlat	tmerc	datum,ellps,k,lat_0,lon_0,no_defs,proj,to_meter,x_0,y_0
CSV	PROJ4_SPCS_EPSG_nad83.csv:00014	longlat	tmerc	datum,ellps,k,lat_0,lon_0,no_defs,proj,to_meter,x_0,y_0
CSV	PROJ4_SPCS_EPSG_nad83.csv:00015	longlat	tmerc	datum,ellps,k,lat_0,lon_0,no_defs,proj,to_meter,x_0,y_0
CSV	PROJ4_SPCS_EPSG_nad83.csv:00016	longlat	tmerc	datum,ellps,k,lat_0,lon_0,no_defs,proj,to_meter,x_0,y_0
CSV	PROJ4_SPCS_EPSG_nad83.csv:00017	longlat	lcc	datum,ellps,lat_0,lat_1,lat_2,lon_0,no_defs,proj,to_meter,x_0,y_0
CSV	PROJ4_SPCS_EPSG_nad83.csv:00018	longlat	lcc	datum,ellps,lat_0,lat_1,lat_2,lon_0,no_defs,proj,to_meter,x_0,y_0
CSV	PROJ4_SPCS_EPSG_nad83.csv:00019	longlat	tmerc	datum,ellps,k,lat_0,lon_0,no_defs,proj,to_meter,x_0,y_0
CSV	PROJ4_SPCS_EPSG_nad83.csv:00020	longlat	tmerc	datum,ellps,k,lat_0,lon_0,no_defs,proj,to_meter,x_0,y_0
CSV	PROJ4_SPCS_EPSG_nad83.csv:00021	longlat	tmerc	datum,ellps,k,lat_0,lon_0,no_defs,proj,to_meter,x_0,y_0
CSV	PROJ4_SPCS_EPSG_nad83.csv:00022	longlat	tmerc	datum,ellps,k,lat_0,lon_0,no_defs,proj,to_meter,x_0,y_0
CSV	PROJ4_SPCS_EPSG_nad83.csv:00023	longlat	tmerc	datum,ellps,k,lat_0,lon_0,no_defs,proj,to_meter,x_0,y_0
CSV	PROJ4_SPCS_EPSG_nad83.csv:00024	longlat	lcc	datum,lat_0,lat_1,lat_2,lon_0,no_defs,proj,units,x_0,y_0
CSV	PROJ4_SPCS_EPSG_nad83.csv:00025	longlat	lcc	datum,lat_0,lat_1,lat_2,lon_0,no_defs,proj,units,x_0,y_0
CSV	PROJ4_SPCS_EPSG_nad83.csv:00026	longlat	lcc	datum,lat_0,lat_1,lat_2,lon_0,no_defs,proj,units,x_0,y_0
CSV	PROJ4_SPCS_EPSG_nad83.csv:00027	longlat	lcc	datum,lat_0,lat_1,lat_2,lon_0,no_defs,proj,units,x_0,y_0
CSV	PROJ4_SPCS_EPSG_nad83.csv:00028	longlat	tmerc	datum,ellps,k,lat_0,lon_0,no_defs,proj,to_meter,x_0,y_0
CSV	PROJ4_SPCS_EPSG_nad83.csv:00029	longlat	tmerc	datum,ellps,k,lat_0,lon_0,no_defs,proj,to_meter,x_0,y_0
CSV	PROJ4_SPCS_EPSG_nad83.csv:00030	longlat	tmerc	datum,ellps,k,lat_0,lon_0,no_defs,proj,to_meter,x_0,y_0
CSV	PROJ4_SPCS_EPSG_nad83.csv:00031	longlat	tmerc	datum,ellps,k,lat_0,lon_0,no_defs,proj,to_meter,x_0,y_0
CSV	PROJ4_SPCS_EPSG_nad83.csv:00032	longlat	tmerc	datum,ellps,k,lat_0,lon_0,no_defs,proj,to_meter,x_0,y_0
CSV	PROJ4_SPCS_EPSG_nad83.csv:00033	longlat	tmerc	datum,ellps,k,lat_0,lon_0,no_defs,proj,to_meter,x_0,y_0
CSV	PROJ4_SPCS_EPSG_nad83.csv:00034	longlat	tmerc	datum,ellps,k,lat_0,lon_0,no_defs,proj,to_meter,x_0,y_0
