key	src	tgt	srctype	tgttype
t00/epsg:3821>epsg:2012	epsg:3821	epsg:2012	0	0
t00/epsg:4007>epsg:2025	epsg:4007	epsg:2025	0	0
t00/epsg:4014>epsg:2081	epsg:4014	epsg:2081	0	0
t00/epsg:4024>epsg:2163	epsg:4024	epsg:2163	0	0
t00/epsg:4034>epsg:2328	epsg:4034	epsg:2328	0	0
t00/epsg:4045>epsg:2341	epsg:4045	epsg:2341	0	0
t00/epsg:4128>epsg:2353	epsg:4128	epsg:2353	0	0
t00/epsg:4174>epsg:2366	epsg:4174	epsg:2366	0	0
t01/epsg:3821>epsg:2048	epsg:3821	epsg:2048	0	1
t01/epsg:4007>epsg:2108	epsg:4007	epsg:2108	0	1
t01/epsg:4014>epsg:2121	epsg:4014	epsg:2121	0	1
t01/epsg:4024>epsg:2134	epsg:4024	epsg:2134	0	1
t01/epsg:4034>epsg:2150	epsg:4034	epsg:2150	0	1
t01/epsg:4045>epsg:2193	epsg:4045	epsg:2193	0	1
t01/epsg:4128>epsg:22174	epsg:4128	epsg:22174	0	1
t01/epsg:4174>epsg:2224	epsg:4174	epsg:2224	0	1
t02/epsg:3821>epsg:2006	epsg:3821	epsg:2006	0	2
t02/epsg:4007>epsg:20355	epsg:4007	epsg:20355	0	2
t02/epsg:4014>epsg:2044	epsg:4014	epsg:2044	0	2
t02/epsg:4024>epsg:2064	epsg:4024	epsg:2064	0	2
t02/epsg:4034>epsg:2079	epsg:4034	epsg:2079	0	2
t02/epsg:4045>epsg:2092	epsg:4045	epsg:2092	0	2
t02/epsg:4128>epsg:21100	epsg:4128	epsg:21100	0	2
t02/epsg:4174>epsg:21418	epsg:4174	epsg:21418	0	2
t03/epsg:3821>epsg:20009	epsg:3821	epsg:20009	0	3
t03/epsg:4007>epsg:20022	epsg:4007	epsg:20022	0	3
t03/epsg:4014>epsg:20066	epsg:4014	epsg:20066	0	3
t03/epsg:4024>epsg:20079	epsg:4024	epsg:20079	0	3
t03/epsg:4034>epsg:20092	epsg:4034	epsg:20092	0	3
t03/epsg:4045>epsg:2094	epsg:4045	epsg:2094	0	3
t03/epsg:4128>epsg:2392	epsg:4128	epsg:2392	0	3
t03/epsg:4174>epsg:2468	epsg:4174	epsg:2468	0	3
t04/epsg:3821>epsg:26703	epsg:3821	epsg:26703	0	4
t04/epsg:4007>epsg:26716	epsg:4007	epsg:26716	0	4
t04/epsg:4014>epsg:26735	epsg:4014	epsg:26735	0	4
t04/epsg:4024>epsg:26748	epsg:4024	epsg:26748	0	4
t04/epsg:4034>epsg:26766	epsg:4034	epsg:26766	0	4
t04/epsg:4045>epsg:26779	epsg:4045	epsg:26779	0	4
t04/epsg:4128>epsg:26795	epsg:4128	epsg:26795	0	4
t04/epsg:4174>epsg:32007	epsg:4174	epsg:32007	0	4
t10/epsg:3824>epsg:2012	epsg:3824	epsg:2012	1	0
t10/epsg:4075>epsg:2025	epsg:4075	epsg:2025	1	0
t10/epsg:4152>epsg:2081	epsg:4152	epsg:2081	1	0
t10/epsg:4173>epsg:2163	epsg:4173	epsg:2163	1	0
t10/epsg:4283>epsg:2328	epsg:4283	epsg:2328	1	0
t10/epsg:4617>epsg:2341	epsg:4617	epsg:2341	1	0
t10/epsg:4667>epsg:2353	epsg:4667	epsg:2353	1	0
t10/epsg:4737>epsg:2366	epsg:4737	epsg:2366	1	0
t11/epsg:3824>epsg:2048	epsg:3824	epsg:2048	1	1
t11/epsg:4075>epsg:2108	epsg:4075	epsg:2108	1	1
t11/epsg:4152>epsg:2121	epsg:4152	epsg:2121	1	1
t11/epsg:4173>epsg:2134	epsg:4173	epsg:2134	1	1
t11/epsg:4283>epsg:2150	epsg:4283	epsg:2150	1	1
t11/epsg:4617>epsg:2193	epsg:4617	epsg:2193	1	1
t11/epsg:4667>epsg:22174	epsg:4667	epsg:22174	1	1
t11/epsg:4737>epsg:2224	epsg:4737	epsg:2224	1	1
t12/epsg:3824>epsg:2006	epsg:3824	epsg:2006	1	2
t12/epsg:4075>epsg:20355	epsg:4075	epsg:20355	1	2
t12/epsg:4152>epsg:2044	epsg:4152	epsg:2044	1	2
t12/epsg:4173>epsg:2064	epsg:4173	epsg:2064	1	2
t12/epsg:4283>epsg:2079	epsg:4283	epsg:2079	1	2
t12/epsg:4617>epsg:2092	epsg:4617	epsg:2092	1	2
t12/epsg:4667>epsg:21100	epsg:4667	epsg:21100	1	2
t12/epsg:4737>epsg:21418	epsg:4737	epsg:21418	1	2
t13/epsg:3824>epsg:20009	epsg:3824	epsg:20009	1	3
t13/epsg:4075>epsg:20022	epsg:4075	epsg:20022	1	3
t13/epsg:4152>epsg:20066	epsg:4152	epsg:20066	1	3
t13/epsg:4173>epsg:20079	epsg:4173	epsg:20079	1	3
t13/epsg:4283>epsg:20092	epsg:4283	epsg:20092	1	3
t13/epsg:4617>epsg:2094	epsg:4617	epsg:2094	1	3
t13/epsg:4667>epsg:2392	epsg:4667	epsg:2392	1	3
t13/epsg:4737>epsg:2468	epsg:4737	epsg:2468	1	3
t14/epsg:3824>epsg:26703	epsg:3824	epsg:26703	1	4
t14/epsg:4075>epsg:26716	epsg:4075	epsg:26716	1	4
t14/epsg:4152>epsg:26735	epsg:4152	epsg:26735	1	4
t14/epsg:4173>epsg:26748	epsg:4173	epsg:26748	1	4
t14/epsg:4283>epsg:26766	epsg:4283	epsg:26766	1	4
