section	key	probe	lon	lat
PAIR	t00/epsg:3821>epsg:2012	0	0x0.0p0	0x0.0p0
PAIR	t00/epsg:3821>epsg:2012	1	-0x1.4p2	-0x1.4p2
PAIR	t00/epsg:3821>epsg:2012	2	0x1.4p2	-0x1.4p2
PAIR	t00/epsg:3821>epsg:2012	3	-0x1.4p2	0x1.4p2
PAIR	t00/epsg:3821>epsg:2012	4	0x1.4p2	0x1.4p2
PAIR	t00/epsg:4007>epsg:2025	0	0x0.0p0	0x0.0p0
PAIR	t00/epsg:4007>epsg:2025	1	-0x1.4p2	-0x1.4p2
PAIR	t00/epsg:4007>epsg:2025	2	0x1.4p2	-0x1.4p2
PAIR	t00/epsg:4007>epsg:2025	3	-0x1.4p2	0x1.4p2
PAIR	t00/epsg:4007>epsg:2025	4	0x1.4p2	0x1.4p2
PAIR	t00/epsg:4014>epsg:2081	0	0x0.0p0	0x0.0p0
PAIR	t00/epsg:4014>epsg:2081	1	-0x1.4p2	-0x1.4p2
PAIR	t00/epsg:4014>epsg:2081	2	0x1.4p2	-0x1.4p2
PAIR	t00/epsg:4014>epsg:2081	3	-0x1.4p2	0x1.4p2
PAIR	t00/epsg:4014>epsg:2081	4	0x1.4p2	0x1.4p2
PAIR	t00/epsg:4024>epsg:2163	0	0x0.0p0	0x0.0p0
PAIR	t00/epsg:4024>epsg:2163	1	-0x1.4p2	-0x1.4p2
PAIR	t00/epsg:4024>epsg:2163	2	0x1.4p2	-0x1.4p2
PAIR	t00/epsg:4024>epsg:2163	3	-0x1.4p2	0x1.4p2
PAIR	t00/epsg:4024>epsg:2163	4	0x1.4p2	0x1.4p2
PAIR	t00/epsg:4034>epsg:2328	0	0x0.0p0	0x0.0p0
PAIR	t00/epsg:4034>epsg:2328	1	-0x1.4p2	-0x1.4p2
PAIR	t00/epsg:4034>epsg:2328	2	0x1.4p2	-0x1.4p2
PAIR	t00/epsg:4034>epsg:2328	3	-0x1.4p2	0x1.4p2
PAIR	t00/epsg:4034>epsg:2328	4	0x1.4p2	0x1.4p2
PAIR	t00/epsg:4045>epsg:2341	0	0x0.0p0	0x0.0p0
PAIR	t00/epsg:4045>epsg:2341	1	-0x1.4p2	-0x1.4p2
PAIR	t00/epsg:4045>epsg:2341	2	0x1.4p2	-0x1.4p2
PAIR	t00/epsg:4045>epsg:2341	3	-0x1.4p2	0x1.4p2
PAIR	t00/epsg:4045>epsg:2341	4	0x1.4p2	0x1.4p2
PAIR	t00/epsg:4128>epsg:2353	0	0x0.0p0	0x0.0p0
PAIR	t00/epsg:4128>epsg:2353	1	-0x1.4p2	-0x1.4p2
PAIR	t00/epsg:4128>epsg:2353	2	0x1.4p2	-0x1.4p2
PAIR	t00/epsg:4128>epsg:2353	3	-0x1.4p2	0x1.4p2
PAIR	t00/epsg:4128>epsg:2353	4	0x1.4p2	0x1.4p2
PAIR	t00/epsg:4174>epsg:2366	0	0x0.0p0	0x0.0p0
PAIR	t00/epsg:4174>epsg:2366	1	-0x1.4p2	-0x1.4p2
PAIR	t00/epsg:4174>epsg:2366	2	0x1.4p2	-0x1.4p2
PAIR	t00/epsg:4174>epsg:2366	3	-0x1.4p2	0x1.4p2
PAIR	t00/epsg:4174>epsg:2366	4	0x1.4p2	0x1.4p2
PAIR	t01/epsg:3821>epsg:2048	0	0x0.0p0	0x0.0p0
PAIR	t01/epsg:3821>epsg:2048	1	-0x1.4p2	-0x1.4p2
PAIR	t01/epsg:3821>epsg:2048	2	0x1.4p2	-0x1.4p2
PAIR	t01/epsg:3821>epsg:2048	3	-0x1.4p2	0x1.4p2
PAIR	t01/epsg:3821>epsg:2048	4	0x1.4p2	0x1.4p2
PAIR	t01/epsg:4007>epsg:2108	0	0x0.0p0	0x0.0p0
PAIR	t01/epsg:4007>epsg:2108	1	-0x1.4p2	-0x1.4p2
PAIR	t01/epsg:4007>epsg:2108	2	0x1.4p2	-0x1.4p2
PAIR	t01/epsg:4007>epsg:2108	3	-0x1.4p2	0x1.4p2
PAIR	t01/epsg:4007>epsg:2108	4	0x1.4p2	0x1.4p2
PAIR	t01/epsg:4014>epsg:2121	0	0x0.0p0	0x0.0p0
PAIR	t01/epsg:4014>epsg:2121	1	-0x1.4p2	-0x1.4p2
PAIR	t01/epsg:4014>epsg:2121	2	0x1.4p2	-0x1.4p2
PAIR	t01/epsg:4014>epsg:2121	3	-0x1.4p2	0x1.4p2
PAIR	t01/epsg:4014>epsg:2121	4	0x1.4p2	0x1.4p2
PAIR	t01/epsg:4024>epsg:2134	0	0x0.0p0	0x0.0p0
PAIR	t01/epsg:4024>epsg:2134	1	-0x1.4p2	-0x1.4p2
PAIR	t01/epsg:4024>epsg:2134	2	0x1.4p2	-0x1.4p2
PAIR	t01/epsg:4024>epsg:2134	3	-0x1.4p2	0x1.4p2
PAIR	t01/epsg:4024>epsg:2134	4	0x1.4p2	0x1.4p2
PAIR	t01/epsg:4034>epsg:2150	0	0x0.0p0	0x0.0p0
PAIR	t01/epsg:4034>epsg:2150	1	-0x1.4p2	-0x1.4p2
PAIR	t01/epsg:4034>epsg:2150	2	0x1.4p2	-0x1.4p2
PAIR	t01/epsg:4034>epsg:2150	3	-0x1.4p2	0x1.4p2
PAIR	t01/epsg:4034>epsg:2150	4	0x1.4p2	0x1.4p2
PAIR	t01/epsg:4045>epsg:2193	0	0x0.0p0	0x0.0p0
PAIR	t01/epsg:4045>epsg:2193	1	-0x1.4p2	-0x1.4p2
PAIR	t01/epsg:4045>epsg:2193	2	0x1.4p2	-0x1.4p2
PAIR	t01/epsg:4045>epsg:2193	3	-0x1.4p2	0x1.4p2
PAIR	t01/epsg:4045>epsg:2193	4	0x1.4p2	0x1.4p2
PAIR	t01/epsg:4128>epsg:22174	0	0x0.0p0	0x0.0p0
PAIR	t01/epsg:4128>epsg:22174	1	-0x1.4p2	-0x1.4p2
PAIR	t01/epsg:4128>epsg:22174	2	0x1.4p2	-0x1.4p2
PAIR	t01/epsg:4128>epsg:22174	3	-0x1.4p2	0x1.4p2
PAIR	t01/epsg:4128>epsg:22174	4	0x1.4p2	0x1.4p2
PAIR	t01/epsg:4174>epsg:2224	0	0x0.0p0	0x0.0p0
PAIR	t01/epsg:4174>epsg:2224	1	-0x1.4p2	-0x1.4p2
PAIR	t01/epsg:4174>epsg:2224	2	0x1.4p2	-0x1.4p2
PAIR	t01/epsg:4174>epsg:2224	3	-0x1.4p2	0x1.4p2
PAIR	t01/epsg:4174>epsg:2224	4	0x1.4p2	0x1.4p2
PAIR	t02/epsg:3821>epsg:2006	0	0x0.0p0	0x0.0p0
PAIR	t02/epsg:3821>epsg:2006	1	-0x1.4p2	-0x1.4p2
PAIR	t02/epsg:3821>epsg:2006	2	0x1.4p2	-0x1.4p2
PAIR	t02/epsg:3821>epsg:2006	3	-0x1.4p2	0x1.4p2
PAIR	t02/epsg:3821>epsg:2006	4	0x1.4p2	0x1.4p2
PAIR	t02/epsg:4007>epsg:20355	0	0x0.0p0	0x0.0p0
PAIR	t02/epsg:4007>epsg:20355	1	-0x1.4p2	-0x1.4p2
PAIR	t02/epsg:4007>epsg:20355	2	0x1.4p2	-0x1.4p2
PAIR	t02/epsg:4007>epsg:20355	3	-0x1.4p2	0x1.4p2
PAIR	t02/epsg:4007>epsg:20355	4	0x1.4p2	0x1.4p2
PAIR	t02/epsg:4014>epsg:2044	0	0x0.0p0	0x0.0p0
PAIR	t02/epsg:4014>epsg:2044	1	-0x1.4p2	-0x1.4p2
PAIR	t02/epsg:4014>epsg:2044	2	0x1.4p2	-0x1.4p2
PAIR	t02/epsg:4014>epsg:2044	3	-0x1.4p2	0x1.4p2
PAIR	t02/epsg:4014>epsg:2044	4	0x1.4p2	0x1.4p2
PAIR	t02/epsg:4024>epsg:2064	0	0x0.0p0	0x0.0p0
PAIR	t02/epsg:4024>epsg:2064	1	-0x1.4p2	-0x1.4p2
PAIR	t02/epsg:4024>epsg:2064	2	0x1.4p2	-0x1.4p2
PAIR	t02/epsg:4024>epsg:2064	3	-0x1.4p2	0x1.4p2
PAIR	t02/epsg:4024>epsg:2064	4	0x1.4p2	0x1.4p2
PAIR	t02/epsg:4034>epsg:2079	0	0x0.0p0	0x0.0p0
PAIR	t02/epsg:4034>epsg:2079	1	-0x1.4p2	-0x1.4p2
PAIR	t02/epsg:4034>epsg:2079	2	0x1.4p2	-0x1.4p2
PAIR	t02/epsg:4034>epsg:2079	3	-0x1.4p2	0x1.4p2
PAIR	t02/epsg:4034>epsg:2079	4	0x1.4p2	0x1.4p2
PAIR	t02/epsg:4045>epsg:2092	0	0x0.0p0	0x0.0p0
PAIR	t02/epsg:4045>epsg:2092	1	-0x1.4p2	-0x1.4p2
PAIR	t02/epsg:4045>epsg:2092	2	0x1.4p2	-0x1.4p2
PAIR	t02/epsg:4045>epsg:2092	3	-0x1.4p2	0x1.4p2
PAIR	t02/epsg:4045>epsg:2092	4	0x1.4p2	0x1.4p2
PAIR	t02/epsg:4128>epsg:21100	0	0x0.0p0	0x0.0p0
PAIR	t02/epsg:4128>epsg:21100	1	-0x1.4p2	-0x1.4p2
PAIR	t02/epsg:4128>epsg:21100	2	0x1.4p2	-0x1.4p2
PAIR	t02/epsg:4128>epsg:21100	3	-0x1.4p2	0x1.4p2
PAIR	t02/epsg:4128>epsg:21100	4	0x1.4p2	0x1.4p2
PAIR	t02/epsg:4174>epsg:21418	0	0x0.0p0	0x0.0p0
PAIR	t02/epsg:4174>epsg:21418	1	-0x1.4p2	-0x1.4p2
PAIR	t02/epsg:4174>epsg:21418	2	0x1.4p2	-0x1.4p2
PAIR	t02/epsg:4174>epsg:21418	3	-0x1.4p2	0x1.4p2
PAIR	t02/epsg:4174>epsg:21418	4	0x1.4p2	0x1.4p2
PAIR	t03/epsg:3821>epsg:20009	0	0x0.0p0	0x0.0p0
PAIR	t03/epsg:3821>epsg:20009	1	-0x1.4p2	-0x1.4p2
PAIR	t03/epsg:3821>epsg:20009	2	0x1.4p2	-0x1.4p2
PAIR	t03/epsg:3821>epsg:20009	3	-0x1.4p2	0x1.4p2
PAIR	t03/epsg:3821>epsg:20009	4	0x1.4p2	0x1.4p2
